C,class_weight,accuracy,macro_f1,f1_positive,f1_negative,f1_neutral
0.3,None,0.584,0.33330930515308355,0.2751322751322751,0.0,0.7247956403269755
0.3,balanced,0.582,0.5281261401982047,0.5342960288808665,0.3645833333333333,0.6854990583804144
1.0,None,0.62,0.43477263245723824,0.4425531914893617,0.11764705882352941,0.7441176470588236
1.0,balanced,0.602,0.5437563503515747,0.5512367491166078,0.3815028901734104,0.6985294117647058
3.0,None,0.64,0.5152877704153358,0.5287356321839081,0.27184466019417475,0.7452830188679245
3.0,balanced,0.622,0.5572623314558798,0.5714285714285714,0.3870967741935484,0.7132616487455197
10.0,None,0.656,0.5525985405814292,0.5682656826568265,0.336283185840708,0.7532467532467533
10.0,balanced,0.634,0.5635679352060178,0.5804195804195804,0.38620689655172413,0.7240773286467487
30.0,None,0.656,0.5525448891521996,0.5735294117647058,0.33043478260869563,0.7536704730831973
30.0,balanced,0.636,0.5598244877025639,0.5824561403508772,0.36879432624113473,0.7282229965156795
100.0,None,0.648,0.5429907595221997,0.5735294117647058,0.3103448275862069,0.7450980392156863
100.0,balanced,0.644,0.568621458795887,0.5907473309608541,0.38028169014084506,0.7348353552859619
300.0,None,0.638,0.5429012271910046,0.5611510791366906,0.3333333333333333,0.7342192691029901
300.0,balanced,0.642,0.5678715346159673,0.578397212543554,0.391304347826087,0.7339130434782609
1000.0,None,0.65,0.5570286442133949,0.5806451612903226,0.34710743801652894,0.7433333333333333
1000.0,balanced,0.652,0.5759931156786763,0.5886524822695035,0.39705882352941174,0.7422680412371134
3000.0,None,0.632,0.5535474717074583,0.5694915254237288,0.366412213740458,0.7247386759581882
3000.0,balanced,0.64,0.5708826665494572,0.5753424657534246,0.40875912408759124,0.7285464098073555
10000.0,None,0.628,0.5462009190896661,0.5798045602605864,0.3442622950819672,0.7145359019264448
10000.0,balanced,0.642,0.5615048748444562,0.5723905723905723,0.38016528925619836,0.7319587628865979
