,version_1,version_2 без повтора,итоговая система
"JSON разбирается, 1-я попытка",1.0,1.0,1.0
"Проходит схему Pydantic, 1-я попытка",0.98,1.0,1.0
"Проходит все проверки, 1-я попытка",0.72,0.84,0.84
Валидный итоговый ответ,0.72,0.84,0.92
Повторных запросов,0.0,0.0,8.0
Исправлено повтором,0.0,0.0,4.0
Отклонено (пустой результат),0.0,8.0,4.0
F1 drug,0.8142857142857143,0.6771653543307087,0.7272727272727272
F1 indication,0.6127167630057804,0.5542168674698795,0.6046511627906976
F1 positive_effect,0.6666666666666667,0.6666666666666666,0.7
F1 adverse_reaction,0.6573426573426573,0.5846153846153846,0.5757575757575758
Precision micro,0.7991071428571429,0.8021978021978022,0.803030303030303
Recall micro,0.6006711409395973,0.4899328859060403,0.5335570469798657
F1 micro,0.6858237547892719,0.6083333333333333,0.6411290322580645
Элементов evidence,124.0,102.0,109.0
Evidence нет в тексте дословно,15.0,0.0,0.0
Извлечений всего,231.0,186.0,203.0
Извлечений без опоры в evidence,142.0,74.0,83.0
Извлечений без опоры в тексте,3.0,3.0,3.0
"Токенов на отзыв, вход",349.44,1393.44,1650.08
"Токенов на отзыв, выход",142.44,113.28,133.14
Секунд на отзыв,7.9622,6.474799999999999,7.49
