Метрика,"Раунд 1, все 90","Раунд 1, 30 спорных","Раунд 2, 30 спорных"
Cohen kappa A-B (0/1/?),0.761,0.417,0.681
Cohen kappa A-C (0/1/?),0.639,0.123,0.516
Cohen kappa B-C (0/1/?),0.843,0.553,0.522
Cohen kappa A-B (без ?),0.922,0.689,0.659
Cohen kappa A-C (без ?),0.82,0.265,0.452
Cohen kappa B-C (без ?),0.882,0.624,0.424
Fleiss kappa (0/1/?),0.743,0.321,0.56
Krippendorff alpha (? как класс),0.744,0.329,0.565
Krippendorff alpha (? как пропуск),0.871,0.566,0.467
"Полное согласие трех, доля",0.8,0.4,0.6
Доля меток ?,0.048,0.144,0.311
