Метрика,"Полный документ, train","Полный документ, test","Полный документ, все","BM25 top-5, train","BM25 top-5, test","BM25 top-5, все"
Вопросов,70.0,30.0,100.0,70.0,30.0,100.0
"JSON разобран, %",100.0,100.0,100.0,100.0,100.0,100.0
"Схема Pydantic (строго), %",100.0,100.0,100.0,100.0,100.0,100.0
"Схема после приведения типов, %",100.0,100.0,100.0,100.0,100.0,100.0
"evidence_ids из контекста, %",100.0,100.0,100.0,100.0,100.0,100.0
"Согласованность полей, %",98.6,100.0,99.0,98.6,100.0,99.0
"Точность ответа (answerable), %",84.6,69.6,80.0,80.8,69.6,77.3
"Общая точность (с отказами), %",88.6,76.7,85.0,85.7,76.7,83.0
"Evidence precision, %",92.2,96.9,93.4,95.5,96.9,95.8
"Evidence recall, %",92.2,100.0,94.3,93.2,96.9,94.2
"Evidence точное совпадение, %",80.0,93.8,83.6,90.9,87.5,90.0
"Доля отказов, %",35.7,46.7,39.0,37.1,46.7,40.0
"Верные отказы (unanswerable), %",100.0,100.0,100.0,100.0,100.0,100.0
"Ответ без опоры (unanswerable), %",0.0,0.0,0.0,0.0,0.0,0.0
"Ложные отказы (answerable), %",13.5,30.4,18.7,15.4,30.4,20.0
"Точность answerable, %",90.0,76.7,86.0,88.6,76.7,85.0
"Время, с (среднее)",1.46,1.46,1.46,0.75,0.74,0.75
"Время, с (медиана)",1.46,1.46,1.46,0.73,0.74,0.73
"Время, с (всего)",102.0,43.9,146.0,52.6,22.1,74.7
Токены промпта (среднее),2149.0,2188.0,2161.0,636.0,638.0,637.0
Токены ответа (среднее),24.3,22.8,23.8,23.8,22.8,23.5
Токены (всего),152129.0,66309.0,218438.0,46205.0,19818.0,66023.0
